n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
63,08/05/15,1859/15,Roubo,Agência,Correios,,"Avenida Nossa Senhora Aparecida, 327, Seminário, Curitiba",670753,7184168,,,laudo INC emitido,057/16,1990/15,Luiz,Benazzi,316/15,155/15
64,09/05/15,1856/15,Arrombamento,Agência,CEF,,"Avenida Winston Churchill, 1190, Pinheirinho, Curitiba",671245,7177859,,,nenhum,,1849/15,Luiz,Benazzi,320/15,169/15
65,10/05/15,1860/15,Arrombamento,Agência,CEF,,"Rua Joinville, 3628, São Pedro, São José dos Pinhais",681797,7172443,,,enviado INC,1065/16,2417/15,Luiz,Benazzi,323/15,170/15
66,13/05/15,2012/15,Furto,Viatura,Correios,,"Rua Tijucas do Sul, 1880, Sítio Cercado, Curitiba",674324,7173508,,,nenhum,,756/16,Marlon,Accioly,331/15,135/15
67,13/05/15,2016/15,Outros,Outro,PF,,"R. Profa. Sandália Monzon, 210 - Santa Cândida, Curitiba",678294,7192240,,,laudo INC emitido,966/15,1320/15,Marlon,Accioly,336/15,137/15
68,17/05/15,2043/15,Arrombamento,Agência,CEF,,"Rua Duílio Calderari, 1841, Campina Grande do Sul",691186,7193400,,,laudo INC emitido,2142/15,1836/15,Akira,Darwin,339/15,143/15
69,19/05/15,2086/15,Preliminar - Cocaína,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,996/15,Ivan,-,342/15,173/15
70,21/05/15,2180/15,Outros,Outro,PF,,"R. Profa. Sandália Monzon, 210 - Santa Cândida, Curitiba",678316,7192271,,,nenhum,,1748/15,Luiz,Adriana,345/15,179/15
71,22/05/15,2162/15,Furto,Viatura,Correios,,"Rua Zenom Silva, 134 – Vila Guaíra, Curitiba (PR)",674554,7181701,,,nenhum,,1032/15,Ivan,Fernando,352/15,234/15
72,27/05/15,2231/15,Furto,Viatura,Correios,,"Rua Guaianazes, 608, Curitiba",671653,7182953,,,laudo INC emitido,009/16,2279/16,Akira,Klock,358/15,174/15
73,30/05/15,"2274/15, 2309/15",Estelionato - Bloqueador,Agência,CEF,,"Avenida Sete de Setembro, 6505, Curitiba",670936,7184051,,,envio pendente,1967/16,884/16,Marlon,Sandro,365/15,184/15
74,30/05/15,-,Outros,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,sem laudo,Marlon,-,366/15,200/15
75,31/05/15,2276/15,Constatação de danos,Agência,CEF,,"Avenida Marginal José de Anchieta, 1440, Guarani, Colombo",682368,7193129,,,nenhum,,1042/16 e 715/17 ,Marlon,Sandro,367/15,201/15
76,01/06/15,2289/15,Roubo,Agência,Correios,,"Rua Catarina Knapik, 83, Quatro Barras",693895,7192739,,,enviado INC,797/16,2349/15,Rodrigo,Ricardo,370/15,311/15
77,02/06/15,2329/15,Furto,Viatura,Correios,,"Rua Visconde do Cerro Frio, 164, Novo Mundo, Curitiba",671299,7180098,,,nenhum,,1207/15,Maia,Adriana,373/15,209/15
78,03/06/15,2322/15,Roubo,Agência,Correios,,"Avenida Manoel Ribas, 812, Curitiba",672294,7187243,,,laudo INC emitido,038/16,2295/16,Akira,Ota,376/15,193/15
79,03/06/15,2323/15,Roubo,Agência,Correios,,"Avenida Brasil, 460, Balsa Nova",637675,7169847,,,laudo INC emitido,2296/15,2367/16,Akira,Ota,378/15,194/15
80,06/06/15,2325/15,Furto,Viatura,Correios,,"Avenida João Negrão, 1251, Curitiba",674766,7185270,,,devolvido,,1310/15,Franus,Ronaldo,381/15,204/15
81,06/06/15,2341/15,Estelionato - Chupa-Cabra,ATM,CEF,,"Rua Rio Branco, 1589, Lapa",628564,7149251,,,enviado INC,504/16,1311/15,Franus,Ronaldo,382/15,205/15
82,06/06/15,2342/15,Arrombamento,Agência,CEF,,"Rua XV de Novembro, 2831, Curitiba",676311,7186610,,,enviado INC,887/16,1456/15,Franus,Ronaldo,383/15,206/15
83,08/06/15,2347/15,Estelionato - Bloqueador,ATM,CEF,,"Avenida República Argentina, 10701, Curitiba",671424,7179016,,,enviado INC,1658/16,1106/16,Marlon,Accioly,386/15,202/15
84,08/06/15,2348/15,Furto,Viatura,Correios,,"Em frente ao shopping cidade, hauer",675708,7181573,,,nenhum,,1108/16,Marlon,Accioly,388/15,203/15
85,12/06/15,2459/15,Roubo,Agência,Correios,,"Rua Carlos Machado, 52, Agudos do Sul",666680,7124319,,,laudo INC emitido,1909/15,1573/15,Maia,Ricardo,394/15,215/15
86,12/06/15,2458/15,Roubo,Agência,Correios,,"Avenida Salgado Filho, 5378, Curitiba",678901,7179660,,,laudo INC emitido,2070/15,1547/15,Maia,Ricardo,395/15,216/15
87,15/06/15,2497/15,Furto,Viatura,Correios,,"Avenida Francisco Derosso, Curitiba",675237,7176709,,,nenhum,,1231/15,Ivan,-,399/15,233/15
88,19/06/15,2581/15,Roubo,Viatura,PF,,"Rua Vicente Pontarolla, esquina com Deputado Nilson Ribas, no Bairro Seminário",669775,7184797,,,enviado INC,976/16,1817/15,Luiz,Darwin,419/15,225/15
89,22/06/15,2572/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,1217/15,Luiz,-,431/15,226/15
90,24/06/15,2677/15,Roubo,Agência,Correios,,"Rua Caçador, 491, Borda do Campo, São José dos Pinhais",692005,7174602,,,nenhum,,2032/15,Maia,Fernando,440/15,252/15
91,25/06/15,2682/15,Roubo,Agência,Correios,,"Rua Baronesa do Cerro Azul, 200, Praia de Leste",753716,7155290,,,laudo INC emitido,2300/15,1700/15,Franus,Schamne,-,240/15
92,28/06/15,2694/15,Preliminar - Cocaína,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,1293/15,Akira,-,449/15,239/15
93,29/06/15,2715/15,Arrombamento,Agência,Correios,,"Rua Padre Francisco Bonatto, 316, Colombo",678682,7201276,,,nenhum,,2062/15,Maia,Sandro,451/15,253/15
94,01/07/15,2820/15,Roubo,Agência,Correios,,"Avenida Nossa Senhora Aparecida, 327, Batel, Curitiba",670753,7184168,,,nenhum,,1937/15,Luiz,Christian,463/15,265/15
95,10/07/15,2936/15,Furto,Viatura,Correios,,"Avenida Marechal Floriano Peixoto, 7932, Boqueirão, Curitiba",676875,7178916,,,laudo INC emitido,2321/15,1788/15,Luiz,Sandro,482/15,275/15
96,11/07/15,2935/15,Arrombamento,Agência,CEF,,"Avenida João Gualberto, 1156, Juvevê, Curitiba",674784,7187731,,,enviado INC,475/16,2535/15,Luiz,Sandro,483/15,284/15
97,14/07/15,3006/15,Arrombamento,Agência,CEF,,"Rua Jundiaí do Sul, 615, Sítio Cercado, Curitiba",675595,7172687,,,nenhum,,2048/15,Maia,Benazzi,488/15,427/15
98,22/07/15,3417/15,Outros,Outro,PF,,"R. Profa. Sandália Monzon, 210 - Santa Cândida, Curitiba",678316,7192271,,,nenhum,,1807/15,Ivan,-,502/15,365/15
99,23/07/15,3091/15,Furto,Outro,IFPR,,"Avenida Salgado Filho, 1200, Rebouças, Curitiba",676218,7182714,,,enviado INC,1028/16,2542/15,Luiz,Werner,504/15,320/15
100,23/07/15,3118/15,Roubo,Agência,Correios,,"Rua José de Sá Ribas, 37, Centro, Quitandinha",650182,7137696,,,nenhum,,2612/15,Luiz,Werner,505/15,285/15
101,23/07/15,042/2016,Suspeita de bomba,Agência,CEF,,"Rua Westphalem, 430 – Curitiba (PR)",673849,7185591,,,nenhum,,-,Franus,Fabiano,507/15,282/15
102,24/07/15,3119/15,Roubo,Viatura,Correios,,"Rua Lauro Grein, 466, Curitiba",665581,7180605,,,enviado INC,1100/16,2008/15,Franus,Accioly,511/15,292/15
103,27/07/15,3120/15,Constatação de danos,Agência,CEF,,"Rua da Fonte, 280, Matinhos",747086,7142387,,,nenhum,,1882/15,Sérvio,Schamne,122/15 PNG,
104,28/07/15,3142/15,Roubo,Agência,Correios,,"Rua Vicente Machado, 52, Campina Grande do Sul ",695995,7199873,,,laudo INC emitido,1937/15,1133/16,Marlon,Adriana,519/15,286/15
105,29/07/15,3179/15,Estelionato - Bloqueador,ATM,CEF,,"Travessa da Lapa, 670, Curitiba",674244,7186210,,,nenhum,,-,Sérvio,Benazzi,521/15,
106,31/07/15,3178/15,Roubo,Agência,Correios,,"Rua Catarina Knapik, 85, Centro, Quatro Barras",693895,7192741,,,enviado INC,399/16,041/16,Luiz,Benazzi,529/15,348/15
107,31/07/15,3176/15,Roubo,Agência,Correios,,"Rua José Bernardino Borhmann, 1258, Bigorrilho, Curitiba ",671044,7185855,,,enviado INC,835/16,062/16,Luiz,Benazzi,530/15,349/15
108,31/07/15,3175/15,Roubo,Viatura,Correios,,SEM LOCAL DEFINIDO,-,-,,,enviado INC,2479/16,1880/15,Luiz,-,531/15,351/15
109,03/08/15,3174/15,Roubo,Agência,Correios,,"Rua Amazonas, 336, Piên",656948,7112365,,,,,12737/16,Sérvio,Sandro,535/15,
110,06/08/15,3297/15,Furto,Agência,CEF,,"Rua Odir Gomes da Rocha, 985, Curitiba",667544,7170500,,,enviado INC,2312/16,1728/15,Rodrigo,Ronaldo,540/15,327/15
111,06/08/15,3272/15,Furto,Agência,UFPR,,"Praça Santos Andrade, 50, Centro, Curitiba ",674252,7186417,,,nenhum,,1711/15,Rodrigo,Ronaldo,542/15,336/15
112,09/08/15,3299/15,Arrombamento,Agência,CEF,,"Avenida Sete de Setembro, 1970, Curitiba",675121,7185789,,,laudo INC emitido,834/17,1573/16,Marlon,Adriana,549/15,337/15
113,12/08/15,3352/15,Furto,Viatura,Correios,,"Rua Julia da Costa, 222, Curitiba",672987,7186577,,,nenhum,,2129/15,Maia,,555/15,014/16
114,13/08/15,3381/15,Roubo,Agência,Correios,,"Rodovia João Leopoldo Jacomel, 12677, Curitiba ",681587,7185964,,,laudo INC emitido,001/16,1823/15,Ivan,Accioly,561/15,366/15
115,14/08/15,3380/15,Furto,Agência,CEF,,"Largo Afonso Roesler, Contenda",647134,7159254,,,enviado INC,1436/16,1944/15,Ivan,Accioly,565/15,414/15
116,14/08/15,3379/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,1709/15,Akira,-,566/15,342/15
117,19/08/15,3410/15,Furto,Agência,CEF,,"Rua Joinville, 3628, São Pedro, São José dos Pinhais ",681797,7172443,,,laudo INC emitido,836/17,1637/16,Marlon,Ota,579/15,357/15
118,20/08/15,3427/15,Arrombamento e furto,Outro,TRE,,"Forum eleitoral, Rua Borges de Medeiros, S/N, de Rio Branco do Sul/PR",670187,7213609,,,enviado INC,577/16,2445/15,Akira,Sandro,582/15,353/15
119,25/08/15,3470/15,Constatação de danos,Agência,CEF,,"Praça Osório, 319, Curitiba ",673263,7185927,,,nenhum,,355/16 e 1673/16,Sérvio,Klock,596/15,
120,30/08/15,3591/15,Arrombamento,Agência,CEF,,"Rua Jundiaí, 615, Curitiba",675595,7172687,,,nenhum,,2028/15,Rodrigo,Fernando,609/15,407/15
121,30/08/15,3589/15,Estelionato - Chupa-Cabra,Agência,CEF,,"Avenida Paraná, 3654, Curitiba ",677762,7191179,,,enviado INC,277/16,1968/15,Ivan,Fernando,610/15,
122,31/08/15,3592/15,Outros,Outro,PRF,,"Delegacia da Polícia Rodoviária Federal (PRF), em Colombo ",685958,7192226,,,enviado INC,1292/16,2031/15,Rodrigo,Aiga,611/15,406/15
123,31/08/15,3587/15,Roubo,Agência,Correios,,"Rua Fredolin Wolf, 43, Almirante Tamandaré",671414,7199571,,,enviado INC,240/16,2043/15,Franus,Fabiano,612/15,381/15
124,31/08/15,3588/15,Acidente de trânsito,Outro,PF,,"Avenida Mascarenhas de Moraes, 1295, Curitiba",679359,7191391,,,nenhum,,2492/15,Franus,Marco,614/15,382/15
125,01/09/15,3614/15,Roubo,Agência,Correios,,"Avenida Nossa Senhora Aparecida, 327, Seminário, Curitiba",670753,7184168,,,enviado INC,968/16,2087/15,Adriana,Brunori,617/15,393/15
126,01/09/15,3615/15,Roubo,Viatura,Correios,,"Rua Fritz Haafe s/n, no “final da rua”, Piraquara",685472,7183709,,,nenhum,,2084/15,Adriana,Brunori,618/15,393/15
127,01/09/15,3616/15,Roubo,Viatura,Correios,,"Rua Professor Pedro Viriato Parigot de Souza, 2581, Curitiba",667555,7185609,,,nenhum,,2085/15,Adriana,Brunori,619/15,393/15
128,02/09/15,3639/15,Roubo,Outro,UTFPR,,"Avenida Heitor Alencar Furtado, 5000, Cidade Industrial, Curitiba",665563,7184930,,,enviado INC,212/16,2569/15,Franus,Klock,621/15 - A,392/15
129,02/09/15,3655/15,Roubo,Viatura,PRF,,"Rua Rockefeller, 980, Curitiba ",674796,7184465,,,enviado INC,456/16,3477/15,Franus,Klock,621/15 - B,391/15
130,04/09/15,"3649, 3998/15",Roubo,Agência,Correios,,"Avenida Atlântica, 532, Pontal do Paraná",753284,7153931,,,laudo INC emitido,919/16 e 340/17,2385/16,Akira,Accioly,625/15,OMP 167/15
131,08/09/15,3641/15,Preliminar - Cocaína,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,1920/15,Sérvio,-,635/15,
