n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
163,05/11/15,"4527/15, 4536/15",Roubo,Agência,Correios,,"Avenida Vicente Machado, 52, Campina Grande do Sul",695995,7199873,,,nenhum,,2410/15,Bogo,Débora,755/15,544/15
164,05/11/15,4528/15,Roubo,Agência,Correios,,"Rua João Barbosa Mendes, 185, Centro, Mandirituba",667811,7147929,,,nenhum,,2429/15,Bogo,Débora,756/15,545/15
165,06/11/15,"4526/15, 4535/15",Explosão,Agência,CEF,,"Avenida Brasil, 416, Piên",656871,7112082,,,enviado INC,510/16,2463/15,Bogo,Débora,759/15,546/15
166,09/11/15,4586/15,Roubo,Agência,CEF,,"Rua Manoel Marcilio  de  Oliveira, 300, São Marcos, São José dos Pinhais",683825,7166728,,,enviado INC,500/16,2474/15,Klock,Brunori,766/15,551/15
167,10/11/15,4620/15,Preliminar - Cocaína,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,2398/15,Bogo,-,769/15,
168,13/11/15,-,Outros,Viatura,Outro,,SEM ENDEREÇO NO SISCRIM - AGUARDAR LAUDO,,,,,enviado INC,,-,Klock,-,-,554/15
169,16/11/15,4673/15,Constatação de danos,Agência,CEF,,"Rua Joinville, 3628, São José dos Pinhais",681797,7172443,,,nenhum,,002/16,Maia,Brunori,784/15,557/15
170,17/11/15,4868/15,Preliminar - Maconha,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,2432/15,Aiga,Luiz,788/15,564/15
171,18/11/15,4703/15,Furto,Viatura,Correios,,"Ruas José Loureiro e João Negrão, nesta capital",674359,7186167,,,enviado INC,505/16,2476/15,Klock,Sandro,791/15,
172,19/11/15,4702/15,Roubo,Agência,Correios,,"Avenida São Pedro, 348, Itaperuçu",666531,7209928,,,enviado INC,2705/16,726/16,Benazzi,Edmar,793/15,565/15
173,19/11/15,4701/15,Furto,Viatura,Correios,,"Rua Rubens Ávila, 360, Curitiba",666943,7175265,,,nenhum,,534/16,Benazzi,,794/15,634/15
174,20/11/15,"4731/15, 4739/15",Estelionato - Chupa-Cabra,ATM,CEF,,"Terminal do Boqueirão, Curitiba (PR)",677837,7176630,,,nenhum,,2117/16 e 2079/16,Marlon,Darwin,798/15,578/15
